"Name","Code","Last","Change","%","Vol","Buy Vol","Buy Price","Sell Price","Sell Vol","Open","High","Low","Previous Close","Value","Sector","Remarks","Timestamp"
"Allgreen","A16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.59","0.0","9",,"2011-08-10 15:01:01",
"Allgreen.ES.1108@","OR6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"2011-08-10 15:01:01",
"AlliedTech","A13","0.0","0.0","0.0","0.0","175.0","0.044","0.05","100.0","0.0","0.0","0.0","0.045","0.0","2",,"2011-08-10 15:01:01",
"Amara","A34","0.31","-0.01","-3.2258065","110.0","42.0","0.3","0.31","57.0","0.31","0.31","0.3","0.32","33600.0","6",,"2011-08-10 15:01:01",
"Amplefield","C60","0.0","0.0","0.0","0.0","500.0","0.014","0.018","155.0","0.0","0.0","0.0","0.014","0.0","2",,"2011-08-10 15:01:01",
"Amtek","M1P","0.83","0.0","0.0","1068.0","24.0","0.83","0.835","3.0","0.86","0.86","0.83","0.83","895245.0","2",,"2011-08-10 15:01:01",
"Anchun","MF5","0.1","0.0","0.0","324.0","150.0","0.098","0.099","30.0","0.101","0.101","0.1","0.1","32450.0","A",,"2011-08-10 15:01:01",
"AnnAik","A52","0.067","0.0","0.0","30.0","10.0","0.067","0.0","0.0","0.066","0.067","0.066","0.067","1990.0","2",,"2011-08-10 15:01:01",
"Annica","5AL","0.019","0.0010","5.2631583","80.0","170.0","0.019","0.022","140.0","0.019","0.019","0.019","0.018","1520.0","2",,"2011-08-10 15:01:01",
"AnwellTech","G5X","0.335","0.015","4.477612","203.0","5.0","0.32","0.33","30.0","0.32","0.335","0.32","0.32","65895.0","2",,"2011-08-10 15:01:01",
"AP Oil","5AU","0.0","0.0","0.0","0.0","110.0","0.15","0.179","220.0","0.0","0.0","0.0","0.159","0.0","2",,"2011-08-10 15:01:01",
"AP Strat","5RA","0.0","0.0","0.0","0.0","1.0","1.19","1.39","1.0","0.0","0.0","0.0","1.39","0.0","A",,"2011-08-10 15:01:01",
"APB","A46","26.72","0.22","0.8233533","6.0","2.0","26.72","27.1","1.0","26.5","26.5","26.5","26.5","159000.0","2",,"2011-08-10 15:01:01",
"Armarda","5EK","0.045","-0.0020","-4.444444","632.0","300.0","0.043","0.045","398.0","0.045","0.047","0.045","0.047","28694.0","A",,"2011-08-10 15:01:01",
"Armstrong","A14","0.265","-0.015","-5.6603775","1101.0","90.0","0.265","0.27","63.0","0.28","0.29","0.265","0.28","304680.0","2",,"2011-08-10 15:01:01",
"Artivision","5NK","0.15","0.0040","2.6666665","4927.0","1.0","0.15","0.152","166.0","0.156","0.156","0.149","0.146","745983.0","A",,"2011-08-10 15:01:01",
"ARA","D1R","1.415","0.015","1.0600708","351.0","31.0","1.41","1.415","35.0","1.43","1.43","1.405","1.4","498520.0","8","CD","2011-08-10 15:01:01",
"AscendasIndT","CY6U","0.895","-0.0050","-0.55865926","649.0","42.0","0.89","0.895","3.0","0.9","0.91","0.88","0.9","581245.0","9",,"2011-08-10 15:01:01",
"Ascendasreit","A17U","1.96","-0.01","-0.5102041","4801.0","560.0","1.955","1.96","202.0","1.965","1.965","1.95","1.97","9416770.0","9",,"2011-08-10 15:01:01",
"AscendasR.ES.1108@","OR5","0.0","0.0","0.0","0.0","16.0","1.945","1.975","16.0","0.0","0.0","0.0","0.0","0.0","5",,"2011-08-10 15:01:01",
"AscottREIT","A68U","1.125","0.0050","0.44444445","1866.0","414.0","1.125","1.13","115.0","1.11","1.135","1.11","1.12","2090200.0","9",,"2011-08-10 15:01:01",
"Asia Env","A58","0.24","0.0","0.0","393.0","42.0","0.235","0.24","57.0","0.245","0.245","0.235","0.24","93205.0","A",,"2011-08-10 15:01:01",
"Asia Fashion","GH3","0.0","0.0","0.0","0.0","100.0","0.044","0.058","10.0","0.0","0.0","0.0","0.055","0.0","2",,"2011-08-10 15:01:01",
"Asia Water","5GB","0.06","0.0","0.0","1889.0","363.0","0.06","0.063","119.0","0.06","0.063","0.057","0.06","113628.0","A",,"2011-08-10 15:01:01",
"AsiaEntH","A55","0.22","0.0050","2.2727273","324.0","15.0","0.215","0.22","17.0","0.22","0.22","0.22","0.215","71280.0","4",,"2011-08-10 15:01:01",
"AsiaMed","505","0.0","0.0","0.0","0.0","332.0","0.026","0.031","21.0","0.0","0.0","0.0","0.03","0.0","A",,"2011-08-10 15:01:01",
"AsianMic","585","0.0050","-0.0020","-40.0","25.0","475.0","0.0050","0.012","15.0","0.0050","0.0050","0.0050","0.0070","125.0","2",,"2011-08-10 15:01:01",
"AsiaPower","A03","0.125","-0.02","-16.0","172.0","20.0","0.126","0.138","8.0","0.126","0.126","0.125","0.145","21530.0","D",,"2011-08-10 15:01:01",
"Asiasons","5ET","0.178","0.0","0.0","2022.0","80.0","0.158","0.177","15.0","0.178","0.178","0.178","0.178","359916.0","A",,"2011-08-10 15:01:01",
"Asiasons WFG","5EC","0.0","0.0","0.0","0.0","50.0","0.11","0.16","85.0","0.0","0.0","0.0","0.14","0.0","8",,"2011-08-10 15:01:01",
"AsiaSilk","5GP","0.0","0.0","0.0","0.0","100.0","0.025","0.03","82.0","0.0","0.0","0.0","0.025","0.0","2",,"2011-08-10 15:01:01",
"Asiatic","5CR","0.06","0.0010","1.6666667","450.0","170.0","0.057","0.06","30.0","0.06","0.06","0.06","0.059","27000.0","4","XD","2011-08-10 15:01:01",
"Asiatravel","5AM","0.37","0.01","2.7027028","2.0","3.0","0.345","0.365","100.0","0.37","0.37","0.37","0.36","740.0","A",,"2011-08-10 15:01:01",
"Aspial","A30","0.54","-0.0050","-0.9259259","634.0","25.0","0.535","0.54","45.0","0.55","0.565","0.53","0.545","346110.0","4",,"2011-08-10 15:01:01",
"ASJ","538","0.0","0.0","0.0","0.0","111.0","0.036","0.04","100.0","0.0","0.0","0.0","0.04","0.0","2",,"2011-08-10 15:01:01",
"ASL Marine","A04","0.515","-0.01","-1.9417477","95.0","1.0","0.515","0.52","18.0","0.51","0.515","0.505","0.525","48695.0","2",,"2011-08-10 15:01:01",
"ASTI","575","0.067","0.0020","2.9850745","165.0","5.0","0.067","0.068","108.0","0.068","0.068","0.066","0.065","11070.0","2",,"2011-08-10 15:01:01",
"AusGroup","5GJ","0.295","-0.0050","-1.6949153","4493.0","54.0","0.295","0.3","403.0","0.305","0.32","0.29","0.3","1360810.0","A",,"2011-08-10 15:01:01",
"AustlandPG A$@","K2X","2.26","-0.02","-0.88495576","9.0","2.0","2.25","2.3","3.0","2.26","2.26","2.26","2.28","20340.0","9",,"2011-08-10 15:01:01",
"Autron","A19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.0","4",,"2011-08-10 15:01:01",
"AURIC","A23","0.59","0.02","3.3898306","16.0","10.0","0.57","0.59","19.0","0.595","0.595","0.585","0.57","9475.0","4",,"2011-08-10 15:01:01",
"AUSSINO","A15","0.0","0.0","0.0","0.0","10.0","0.052","0.07","1.0","0.0","0.0","0.0","0.06","0.0","4",,"2011-08-10 15:01:01",
"Avi-Tech","CT1","0.0","0.0","0.0","0.0","70.0","0.13","0.145","50.0","0.0","0.0","0.0","0.13","0.0","A",,"2011-08-10 15:01:01",
"AVJennings A$","A05","0.0","0.0","0.0","0.0","11.0","0.37","0.485","1.0","0.0","0.0","0.0","0.405","0.0","9","CD","2011-08-10 15:01:01",
"Azeus","A69","0.0","0.0","0.0","0.0","27.0","0.045","0.065","27.0","0.0","0.0","0.0","0.058","0.0","A","XD","2011-08-10 15:01:01",
"Aztech","560","0.124","0.012","9.67742","464.0","66.0","0.11","0.12","1.0","0.12","0.124","0.11","0.112","51921.0","2",,"2011-08-10 15:01:01",
"BakerTech","568","0.295","0.0","0.0","3330.0","328.0","0.29","0.295","92.0","0.3","0.31","0.295","0.295","995675.0","2",,"2011-08-10 15:01:01",
"Ban Leong","B26","0.0","0.0","0.0","0.0","15.0","0.116","0.139","19.0","0.0","0.0","0.0","0.135","0.0","4",,"2011-08-10 15:01:01",
"BanyanTree","B58","0.725","-0.035","-4.827586","57.0","1.0","0.725","0.75","7.0","0.76","0.76","0.715","0.76","41655.0","6",,"2011-08-10 15:01:01",
"BBR Hldg","KJ5","0.24","-0.01","-4.166667","321.0","152.0","0.24","0.245","36.0","0.25","0.25","0.24","0.25","78140.0","3",,"2011-08-10 15:01:01",
"Beng Kuang","5MC","0.173","0.0030","1.7341042","805.0","20.0","0.172","0.173","20.0","0.175","0.178","0.172","0.17","141451.0","A",,"2011-08-10 15:01:01",
"Berger","B64","0.12","-0.0020","-1.6666667","2.0","48.0","0.12","0.14","5.0","0.12","0.12","0.12","0.122","240.0","2",,"2011-08-10 15:01:01",
"BerlianLaju","B66","0.036","0.0010","2.777778","3116.0","4034.0","0.035","0.036","1170.0","0.036","0.036","0.035","0.035","112076.0","7",,"2011-08-10 15:01:01",
"Best World","5ER","0.0","0.0","0.0","0.0","20.0","0.16","0.17","50.0","0.0","0.0","0.0","0.17","0.0","4",,"2011-08-10 15:01:01",
"Beyonics","B19","0.182","-0.01","-5.4945054","1137.0","75.0","0.181","0.182","17.0","0.191","0.197","0.182","0.192","214096.0","2",,"2011-08-10 15:01:01",
"BH Global","B32","0.193","-0.0020","-1.0362694","649.0","50.0","0.19","0.193","50.0","0.195","0.195","0.185","0.195","123895.0","4",,"2011-08-10 15:01:01",
"Biosensors","B20","1.255","-0.0050","-0.3984064","3719.0","107.0","1.255","1.26","157.0","1.27","1.285","1.25","1.26","4712780.0","2",,"2011-08-10 15:01:01",
"Biosensors.ES.1108@","OR4","0.0","0.0","0.0","0.0","35.0","1.24","1.27","35.0","0.0","0.0","0.0","1.28","0.0","5",,"2011-08-10 15:01:01",
"BIDU ADR 10US$+","K3SD","0.0","0.0","0.0","0.0","0.92","136.76","145.78","0.75","0.0","0.0","0.0","139.0","0.0","A",,"2011-08-10 15:01:01",
"Blumont","A33","0.018","0.0","0.0","150.0","523.0","0.017","0.019","683.0","0.018","0.018","0.018","0.018","2700.0","A",,"2011-08-10 15:01:01",
"BMT 100","B08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.4","0.0","8",,"2011-08-10 15:01:01",
"Boardroom","B10","0.0","0.0","0.0","0.0","20.0","0.505","0.565","14.0","0.0","0.0","0.0","0.52","0.0","A","CD","2011-08-10 15:01:01",
"Bonvests","B28","0.0","0.0","0.0","0.0","2.0","0.89","0.95","6.0","0.0","0.0","0.0","0.97","0.0","9",,"2011-08-10 15:01:01",
"Boustead Sp","F9D","0.89","-0.015","-1.6853933","495.0","1.0","0.895","0.905","50.0","0.91","0.925","0.89","0.905","450395.0","A",,"2011-08-10 15:01:01",
"BreadTalk","5DA","0.59","0.015","2.542373","162.0","30.0","0.585","0.59","20.0","0.58","0.62","0.58","0.575","98060.0","2",,"2011-08-10 15:01:01",
"BrightOrient","5DT","0.0","0.0","0.0","0.0","45.0","0.032","0.0","0.0","0.0","0.0","0.0","0.032","0.0","2",,"2011-08-10 15:01:01",
"Broadway","B69","0.34","0.0","0.0","392.0","6.0","0.34","0.345","13.0","0.35","0.35","0.34","0.34","136060.0","2",,"2011-08-10 15:01:01",
"Brothers","G03","0.0","0.0","0.0","0.0","5.0","0.13","0.19","1.0","0.0","0.0","0.0","0.175","0.0","9",,"2011-08-10 15:01:01",
"BRC Asia","B03","0.126","-0.0040","-3.1746032","275.0","125.0","0.125","0.126","14.0","0.125","0.127","0.125","0.13","34525.0","2",,"2011-08-10 15:01:01",
"BukitSem","B61","3.97","-0.12","-3.02267","34.0","5.0","3.98","4.03","5.0","4.11","4.12","3.97","4.09","137270.0","9",,"2011-08-10 15:01:01",
"BundCenter","MQ4","0.187","-0.0030","-1.6042781","1115.0","156.0","0.185","0.187","24.0","0.191","0.196","0.185","0.19","211590.0","9",,"2011-08-10 15:01:01",
"C&G EP","D79","0.165","-0.0050","-3.030303","321.0","10.0","0.165","0.167","10.0","0.17","0.17","0.16","0.17","51850.0","2",,"2011-08-10 15:01:01",
"C&O Pharm","E92","0.47","-0.0050","-1.0638298","8348.0","6105.0","0.47","0.475","3998.0","0.47","0.475","0.47","0.475","3924340.0","4",,"2011-08-10 15:01:01",
"Cacola","D2U","0.038","0.0010","2.6315792","197.0","353.0","0.038","0.039","270.0","0.037","0.038","0.037","0.037","7466.0","2",,"2011-08-10 15:01:01",
"Cambridge","J91U","0.48","0.0050","1.0416667","7255.0","663.0","0.475","0.48","311.0","0.475","0.485","0.475","0.475","3479955.0","9",,"2011-08-10 15:01:01",
"CapitaComm","C61U","1.245","-0.025","-2.008032","8766.0","494.0","1.24","1.245","112.0","1.29","1.29","1.24","1.27","1.102951E7","9",,"2011-08-10 15:01:01",
"Capitaland","C31","2.55","0.01","0.39215687","31010.0","551.0","2.55","2.56","362.0","2.6","2.61","2.54","2.54","7.9648248E7","9",,"2011-08-10 15:01:01",
"Capitaland.ES.1108@","OR3","0.0","0.0","0.0","0.0","20.0","2.54","2.59","20.0","0.0","0.0","0.0","2.59","0.0","5",,"2011-08-10 15:01:01",
"CapitaMall","C38U","1.74","-0.03","-1.7241379","5435.0","89.0","1.74","1.745","33.0","1.78","1.78","1.735","1.77","9547405.0","9",,"2011-08-10 15:01:01",
"CapitaMall.ES.1108@","OR2","0.0","0.0","0.0","0.0","23.0","1.545","1.755","23.0","0.0","0.0","0.0","0.0","0.0","5",,"2011-08-10 15:01:01",
"CapitaRChina","AU8U","1.215","0.015","1.2345679","755.0","535.0","1.21","1.215","56.0","1.21","1.23","1.205","1.2","916360.0","9",,"2011-08-10 15:01:01",
"CapMallA1%b120121","M8SZ","0.0","0.0","0.0","0.0","10.0","0.9","0.0","0.0","0.0","0.0","0.0","0.995","0.0","5",,"2011-08-10 15:01:01",
"CapMallA2.15%140121","M8TZ","0.0","0.0","0.0","0.0","10.0","0.98","1.01","16.0","0.0","0.0","0.0","1.01","0.0","5",,"2011-08-10 15:01:01",
"CapMallsAsia","JS8","1.25","0.015","1.2","7595.0","2.0","1.25","1.255","203.0","1.25","1.255","1.235","1.235","9461235.0","9","CD","2011-08-10 15:01:01",
"CapMallT2%b130225","NI7Z","0.991","0.0","0.0","30.0","10.0","0.992","1.0","24.0","0.991","0.991","0.991","0.991","29730.0","5",,"2011-08-10 15:01:01",
"CarrierNet","5BI","0.0090","0.0010","11.111112","1590.0","3195.0","0.0080","0.0090","590.0","0.0080","0.0090","0.0080","0.0080","13720.0","2",,"2011-08-10 15:01:01",
"Casa","C04","0.0","0.0","0.0","0.0","17.0","0.096","0.12","57.0","0.0","0.0","0.0","0.1","0.0","4",,"2011-08-10 15:01:01",
"CACHE","K2LU","0.95","0.01","1.0526316","1785.0","509.0","0.945","0.95","86.0","0.94","0.955","0.94","0.94","1688550.0","9",,"2011-08-10 15:01:01",
"CCM Group","5QZ","0.125","0.0010","0.8","538.0","1.0","0.125","0.126","10.0","0.124","0.134","0.124","0.124","68805.0","3",,"2011-08-10 15:01:01",
"CDL HTrust@","J85","1.85","0.0","0.0","3535.0","93.0","1.85","1.855","263.0","1.85","1.87","1.84","1.85","6545140.0","9",,"2011-08-10 15:01:01",
"CDW","D38","0.07","-0.0010","-1.4285715","995.0","65.0","0.07","0.074","60.0","0.07","0.07","0.07","0.071","69650.0","2",,"2011-08-10 15:01:01",
"Celestial","C56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.0","2",,"2011-08-10 15:01:01",
"Centillion","C49","0.0030","0.0010","33.333332","2650.0","22467.0","0.0020","0.0030","22496.0","0.0020","0.0030","0.0020","0.0020","6300.0","2",,"2011-08-10 15:01:01",
"CentraLand","E3S","0.0","0.0","0.0","0.0","5.0","0.26","0.36","5.0","0.0","0.0","0.0","0.36","0.0","9",,"2011-08-10 15:01:01",
"Centurion","OU8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2",,"2011-08-10 15:01:01",
"Centurion 500","OU9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2",,"2011-08-10 15:01:01",
"CerebosPac","C20","5.11","0.01","0.19569471","174.0","31.0","5.1","5.12","15.0","5.12","5.16","5.11","5.1","894720.0","2",,"2011-08-10 15:01:01",
"CEA ADR 10US$","K3CD","0.0","0.0","0.0","0.0","1.5","21.2","21.49","3.0","0.0","0.0","0.0","24.48","0.0","7",,"2011-08-10 15:01:01",
"CEI","C11","0.119","0.0090","7.563025","91.0","4.0","0.116","0.119","5.0","0.12","0.12","0.119","0.11","10880.0","2","CD","2011-08-10 15:01:01",
"CFM","5EB","0.0","0.0","0.0","0.0","3.0","0.075","0.088","50.0","0.0","0.0","0.0","0.088","0.0","2",,"2011-08-10 15:01:01",
"CGI Group","5CJ","0.0","0.0","0.0","0.0","155.0","0.015","0.04","180.0","0.0","0.0","0.0","0.04","0.0","2",,"2011-08-10 15:01:01",
"Challenger","573","0.41","-0.02","-4.878049","0.0","13.0","0.405","0.44","32.0","0.0","0.0","0.0","0.43","0.0","4","CD","2011-08-10 15:01:01",
"Changtian","D2V","0.06","0.0010","1.6666667","233.0","2.0","0.059","0.06","65.0","0.059","0.061","0.059","0.059","13966.0","2",,"2011-08-10 15:01:01",
"ChasenHldg","5NV","0.375","-0.01","-2.6666667","98.0","10.0","0.37","0.375","18.0","0.39","0.39","0.375","0.385","37750.0","A",,"2011-08-10 15:01:01",
"ChemInd","C05","0.0","0.0","0.0","0.0","1.0","0.405","0.47","9.0","0.0","0.0","0.0","0.44","0.0","2",,"2011-08-10 15:01:01",
"Chemoil US$","AV5","0.28","-0.015","-5.357143","136.0","49.0","0.28","0.285","4.0","0.285","0.29","0.28","0.295","38805.0","4",,"2011-08-10 15:01:01",
"CheungWoh","C50","0.191","0.0010","0.5235602","119.0","20.0","0.19","0.191","75.0","0.191","0.191","0.191","0.19","22729.0","2",,"2011-08-10 15:01:01",
"Chew s Gp","5SY","0.0","0.0","0.0","0.0","12.0","0.205","0.235","12.0","0.0","0.0","0.0","0.235","0.0","2",,"2011-08-10 15:01:01",
"China Dairy","T16","0.0","0.0","0.0","0.0","84.0","0.059","0.07","18.0","0.0","0.0","0.0","0.07","0.0","4",,"2011-08-10 15:01:01",
"China Farm","A8J","0.0","0.0","0.0","0.0","20.0","0.2","0.28","50.0","0.0","0.0","0.0","0.23","0.0","2",,"2011-08-10 15:01:01",
"China Fish","B0Z","1.19","-0.015","-1.2605041","446.0","6.0","1.19","1.195","15.0","1.21","1.23","1.19","1.205","537920.0","A",,"2011-08-10 15:01:01",
"China Great","D50","0.0","0.0","0.0","0.0","118.0","0.012","0.022","118.0","0.0","0.0","0.0","0.017","0.0","3",,"2011-08-10 15:01:01",
"China Haida","C92","0.0","0.0","0.0","0.0","1.0","0.026","0.031","122.0","0.0","0.0","0.0","0.03","0.0","2",,"2011-08-10 15:01:01",
"China HC","592","0.0","0.0","0.0","0.0","100.0","0.155","0.179","30.0","0.0","0.0","0.0","0.16","0.0","A",,"2011-08-10 15:01:01",
"China Hongx","BR9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.115","0.0","2",,"2011-08-10 15:01:01",
"China Intl","C37","0.0","0.0","0.0","0.0","30.0","0.041","0.049","20.0","0.0","0.0","0.0","0.045","0.0","7",,"2011-08-10 15:01:01",
"China Paper","C71","0.084","-0.0060","-7.1428576","817.0","338.0","0.084","0.085","10.0","0.088","0.088","0.084","0.09","70278.0","2",,"2011-08-10 15:01:01",
"China Powerpl","Z02","0.035","-0.0070","-20.000002","350.0","850.0","0.035","0.04","90.0","0.035","0.035","0.035","0.042","12250.0","2",,"2011-08-10 15:01:01",
"China Sky","E90","0.101","-0.0040","-3.960396","344.0","2.0","0.101","0.102","46.0","0.101","0.11","0.101","0.105","35303.0","2",,"2011-08-10 15:01:01",
"China Sports","FQ8","0.055","0.0010","1.8181819","980.0","170.0","0.052","0.055","50.0","0.054","0.055","0.052","0.054","53160.0","2",,"2011-08-10 15:01:01",
"China Sun","C86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.055","0.0","2",,"2011-08-10 15:01:01",
"China XLX","B9R","0.275","-0.01","-3.6363635","282.0","95.0","0.275","0.28","27.0","0.29","0.29","0.27","0.285","79765.0","2",,"2011-08-10 15:01:01",
"China YongS","5KK","0.0090","-0.0010","-11.111112","260.0","240.0","0.0090","0.013","560.0","0.0090","0.0090","0.0090","0.01","2340.0","2",,"2011-08-10 15:01:01",
"ChinaACorp","A01","0.025","-0.0010","-4.0","545.0","200.0","0.025","0.026","5.0","0.025","0.026","0.025","0.026","13725.0","1",,"2011-08-10 15:01:01",
"ChinaAElec","T42","0.075","0.014","18.666668","80.0","20.0","0.066","0.075","70.0","0.075","0.075","0.075","0.061","6000.0","2",,"2011-08-10 15:01:01",
"ChinaAniH","EP4","0.23","0.0050","2.173913","4148.0","876.0","0.225","0.23","173.0","0.23","0.24","0.225","0.225","945345.0","2",,"2011-08-10 15:01:01",
"ChinaAOil","G92","1.035","-0.01","-0.9661836","325.0","17.0","1.03","1.04","10.0","1.06","1.095","1.035","1.045","344105.0","4",,"2011-08-10 15:01:01",
"ChinaBearing","AD7","0.0","0.0","0.0","0.0","65.0","0.035","0.045","40.0","0.0","0.0","0.0","0.038","0.0","2",,"2011-08-10 15:01:01",
"ChinaEnergy","A0G","0.068","-0.0010","-1.4705882","470.0","199.0","0.066","0.068","14.0","0.07","0.071","0.066","0.069","32690.0","2",,"2011-08-10 15:01:01",
"ChinaEnSave","5QT","0.0","0.0","0.0","0.0","1000.0","0.0040","0.0060","987.0","0.0","0.0","0.0","0.0060","0.0","3",,"2011-08-10 15:01:01",
"ChinaEnv","5OU","0.095","-0.0030","-3.1578948","281.0","10.0","0.091","0.095","75.0","0.098","0.105","0.098","0.098","28283.0","A",,"2011-08-10 15:01:01",
"ChinaEnvRes 8k","M8J","0.0","0.0","0.0","0.0","168.0","0.013","0.027","168.0","0.0","0.0","0.0","0.02","0.0","2",,"2011-08-10 15:01:01",
"ChinaEssen","G54","0.255","-0.0050","-1.9607843","153.0","1.0","0.255","0.27","40.0","0.265","0.265","0.255","0.26","40140.0","2",,"2011-08-10 15:01:01",
"ChinaFash","5FK","0.042","-0.0050","-11.904762","20.0","55.0","0.038","0.058","6.0","0.042","0.042","0.042","0.047","840.0","2",,"2011-08-10 15:01:01",
"ChinaFibreT","F6D","0.053","-0.0050","-9.433963","127.0","14.0","0.053","0.055","1.0","0.054","0.054","0.053","0.058","6732.0","A",,"2011-08-10 15:01:01",
"ChinaFlexP","C59","0.072","0.0010","1.388889","50.0","50.0","0.069","0.077","40.0","0.072","0.072","0.072","0.071","3600.0","2",,"2011-08-10 15:01:01",
"ChinaGaoxian","I4U","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.19","0.0","2",,"2011-08-10 15:01:01",
"ChinaHongc","C0Z","0.0","0.0","0.0","0.0","25.0","0.04","0.056","106.0","0.0","0.0","0.0","0.042","0.0","2",,"2011-08-10 15:01:01",
"ChinaJishan","J18","0.0","0.0","0.0","0.0","35.0","0.051","0.065","7.0","0.0","0.0","0.0","0.066","0.0","A",,"2011-08-10 15:01:01",
"ChinaKangda","P74","0.0","0.0","0.0","0.0","30.0","0.085","0.105","5.0","0.0","0.0","0.0","0.095","0.0","2",,"2011-08-10 15:01:01",
"ChinaKunda","GU5","0.0","0.0","0.0","0.0","30.0","0.053","0.063","30.0","0.0","0.0","0.0","0.064","0.0","2",,"2011-08-10 15:01:01",
