"Name","Code","Last","Change","%","Vol","Buy Vol","Buy Price","Sell Price","Sell Vol","Open","High","Low","Previous Close","Value","Sector","Remarks","Timestamp"
"Biosensors","B20","1.34","0.025","1.8656716","5985.0","158.0","1.335","1.34","92.0","1.32","1.345","1.315","1.315","7990770.0","2",,"20110726_181655",
"Biosensors.ES.1107@","OC3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"Biosensors.ES.1108@","OR4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"BIDU ADR 10US$+","K3SD","164.0","14.0","8.536586","0.71","0.1","162.0","166.0","2.0","159.7","164.0","159.7","150.0","114478.0","A",,"20110726_181655",
"Blumont","A33","0.0","0.0","0.0","0.0","100.0","0.019","0.022","239.0","0.0","0.0","0.0","0.019","0.0","A",,"20110726_181655",
"BMT 100","B08","0.0","0.0","0.0","0.0","0.0","0.0","5.4","2.0","0.0","0.0","0.0","5.4","0.0","8",,"20110726_181655",
"Boardroom","B10","0.54","0.0","0.0","100.0","55.0","0.54","0.55","79.0","0.54","0.54","0.54","0.54","54000.0","A",,"20110726_181655",
"Bonvests","B28","1.005","-0.015","-1.4925374","39.0","1.0","1.005","1.01","22.0","1.01","1.01","1.005","1.02","39380.0","9",,"20110726_181655",
"Boustead Sp","F9D","1.035","0.0","0.0","152.0","27.0","1.035","1.04","50.0","1.04","1.045","1.035","1.035","157945.0","A","CD","20110726_181655",
"BreadTalk","5DA","0.62","0.0050","0.8064516","149.0","137.0","0.615","0.62","238.0","0.615","0.62","0.615","0.615","91955.0","2",,"20110726_181655",
"BrightOrient","5DT","0.0","0.0","0.0","0.0","49.0","0.032","0.05","5.0","0.0","0.0","0.0","0.05","0.0","2",,"20110726_181655",
"Broadway","B69","0.41","0.0","0.0","130.0","123.0","0.405","0.415","80.0","0.405","0.41","0.405","0.41","52690.0","2",,"20110726_181655",
"Brothers","G03","0.2","0.0050","2.5","371.0","27.0","0.2","0.205","71.0","0.195","0.205","0.195","0.195","74130.0","9","CD","20110726_181655",
"BRC Asia","B03","0.0","0.0","0.0","0.0","200.0","0.132","0.145","240.0","0.0","0.0","0.0","0.139","0.0","2",,"20110726_181655",
"BukitSem","B61","4.59","0.0","0.0","57.0","4.0","4.59","4.61","5.0","4.58","4.61","4.58","4.59","262100.0","9","CD","20110726_181655",
"BundCenter","MQ4","0.22","0.01","4.5454545","412.0","402.0","0.21","0.22","296.0","0.21","0.22","0.21","0.21","88175.0","9",,"20110726_181655",
"C&G EP","D79","0.161","-0.0090","-5.590062","231.0","9.0","0.161","0.175","184.0","0.17","0.173","0.161","0.17","39621.0","2",,"20110726_181655",
"C&O Pharm","E92","0.45","0.02","4.4444447","6837.0","225.0","0.445","0.45","28.0","0.43","0.46","0.43","0.43","3048770.0","4",,"20110726_181655",
"Cacola","D2U","0.0","0.0","0.0","0.0","300.0","0.04","0.043","190.0","0.0","0.0","0.0","0.041","0.0","2",,"20110726_181655",
"Cambridge","J91U","0.51","0.0","0.0","1210.0","53.0","0.505","0.51","1332.0","0.51","0.51","0.505","0.51","614790.0","9","XD","20110726_181655",
"CapitaComm","C61U","1.435","-0.025","-1.7421603","5535.0","70.0","1.43","1.435","150.0","1.43","1.44","1.42","1.46","7912285.0","9","XD","20110726_181655",
"Capitaland","C31","2.93","0.01","0.3412969","9808.0","54.0","2.93","2.94","554.0","2.93","2.97","2.93","2.92","2.890199E7","9",,"20110726_181655",
"Capitaland.ES.1107@","OC4","0.0","0.0","0.0","0.0","0.0","0.0","2.96","4.0","0.0","0.0","0.0","2.88","0.0","5",,"20110726_181655",
"Capitaland.ES.1108@","OR3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5",,"20110726_181655",
"CapitaMall","C38U","1.915","-0.0050","-0.2610966","5738.0","104.0","1.91","1.915","124.0","1.915","1.925","1.9","1.92","1.096594E7","9","XD","20110726_181655",
"CapitaMall.ES.1107@","OC5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","XD","20110726_181655",
"CapitaMall.ES.1108@","OR2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","XD","20110726_181655",
"CapitaRChina","AU8U","1.23","-0.01","-0.8130081","845.0","20.0","1.225","1.235","48.0","1.24","1.24","1.225","1.24","1041350.0","9",,"20110726_181655",
"CapMallA1%b120121","M8SZ","0.0","0.0","0.0","0.0","10.0","0.983","0.0","0.0","0.0","0.0","0.0","1.0","0.0","5",,"20110726_181655",
"CapMallA2.15%140121","M8TZ","0.0","0.0","0.0","0.0","15.0","0.996","1.006","15.0","0.0","0.0","0.0","1.003","0.0","5",,"20110726_181655",
"CapMallsAsia","JS8","1.435","-0.0050","-0.34843206","3892.0","675.0","1.435","1.44","110.0","1.44","1.445","1.435","1.44","5599685.0","9","CD","20110726_181655",
"CapMallT2%b130225","NI7Z","0.0","0.0","0.0","0.0","50.0","0.995","0.0","0.0","0.0","0.0","0.0","1.001","0.0","5",,"20110726_181655",
"CarrierNet","5BI","0.01","0.0010","10.0","170.0","530.0","0.01","0.011","823.0","0.01","0.01","0.01","0.0090","1700.0","2",,"20110726_181655",
"Casa","C04","0.102","0.0010","0.9803922","5.0","93.0","0.102","0.12","29.0","0.102","0.102","0.102","0.101","510.0","4",,"20110726_181655",
"CACHE","K2LU","0.98","0.0050","0.5102041","193.0","31.0","0.98","0.985","195.0","0.975","0.985","0.975","0.975","189430.0","9",,"20110726_181655",
"CCM Group","5QZ","0.24","0.0","0.0","6827.0","318.0","0.235","0.24","58.0","0.245","0.25","0.235","0.24","1646075.0","3",,"20110726_181655",
